iter	Passed	Remaining
203	1085	4237
204	1090	4229
205	1095	4223
206	1099	4212
207	1104	4204
208	1108	4194
209	1111	4182
210	1116	4173
211	1121	4168
212	1125	4159
213	1129	4148
214	1133	4138
215	1138	4132
216	1142	4124
217	1146	4114
218	1151	4107
219	1155	4097
220	1159	4087
221	1165	4082
222	1169	4075
223	1175	4070
224	1179	4061
225	1183	4054
226	1189	4049
227	1193	4039
228	1196	4029
229	1201	4023
230	1205	4014
231	1210	4006
232	1214	3998
233	1220	3994
234	1225	3987
235	1228	3978
236	1233	3970
237	1237	3962
238	1241	3953
239	1245	3943
240	1251	3940
241	1255	3933
242	1259	3924
243	1263	3916
244	1269	3911
245	1274	3905
246	1278	3896
247	1283	3890
248	1287	3881
249	1290	3872
250	1294	3863
251	1299	3855
252	1302	3847
253	1307	3839
254	1312	3835
255	1318	3831
256	1323	3827
257	1331	3829
258	1336	3823
259	1341	3818
260	1347	3814
261	1351	3807
262	1356	3801
263	1362	3797
264	1367	3792
265	1372	3787
266	1377	3782
267	1383	3777
268	1388	3772
269	1393	3767
270	1397	3760
271	1402	3753
272	1406	3746
273	1411	3740
274	1416	3733
275	1420	3726
276	1425	3719
277	1429	3712
278	1434	3706
279	1438	3699
280	1443	3694
281	1448	3688
282	1453	3682
283	1458	3677
284	1463	3671
285	1468	3666
286	1473	3660
287	1477	3653
288	1482	3646
289	1487	3640
290	1491	3633
291	1495	3626
292	1501	3622
293	1505	3616
294	1510	3610
295	1514	3602
296	1518	3595
297	1523	3589
298	1528	3582
299	1533	3577
300	1539	3575
301	1543	3568
302	1548	3561
303	1552	3554
304	1557	3548
305	1561	3541
306	1566	3536
307	1571	3531
308	1576	3524
309	1580	3517
310	1585	3512
311	1589	3504
312	1593	3497
313	1598	3491
314	1602	3485
315	1607	3478
316	1611	3471
317	1616	3467
318	1620	3460
319	1625	3453
320	1631	3450
321	1635	3444
322	1639	3436
323	1643	3429
324	1647	3422
325	1651	3414
326	1655	3406
327	1659	3399
328	1663	3393
329	1667	3385
330	1671	3378
331	1675	3371
332	1679	3364
333	1683	3357
334	1687	3350
335	1691	3343
336	1695	3335
337	1699	3328
338	1703	3320
339	1706	3313
340	1710	3306
341	1714	3298
342	1720	3294
343	1726	3292
344	1730	3285
345	1734	3277
346	1738	3270
347	1741	3263
348	1746	3257
349	1750	3250
350	1754	3243
351	1757	3236
352	1761	3229
353	1765	3222
354	1769	3214
355	1773	3207
356	1777	3201
357	1781	3193
358	1784	3186
359	1788	3180
360	1792	3173
361	1796	3166
362	1800	3159
363	1804	3152
364	1808	3145
365	1811	3138
366	1815	3131
367	1819	3124
368	1823	3117
369	1828	3113
370	1832	3106
371	1836	3100
372	1841	3095
373	1845	3088
374	1848	3081
375	1852	3074
376	1857	3069
377	1862	3064
378	1873	3069
379	1880	3068
380	1893	3076
381	1901	3076
382	1910	3077
383	1915	3072
384	1919	3066
385	1926	3063
386	1931	3059
387	1935	3053
388	1940	3047
389	1943	3040
390	1947	3032
391	1951	3026
392	1955	3019
393	1958	3012
394	1962	3005
395	1966	2999
396	1970	2993
397	1973	2985
398	1977	2979
399	1981	2972
400	1985	2965
401	1988	2958
402	1992	2951
403	1996	2945
404	2000	2938
405	2003	2931
406	2007	2925
407	2011	2918
408	2014	2911
409	2018	2905
410	2022	2898
411	2025	2891
412	2029	2885
413	2033	2878
414	2037	2872
415	2041	2866
416	2045	2859
417	2049	2852
418	2052	2846
419	2056	2840
420	2060	2834
421	2064	2827
422	2068	2821
423	2072	2814
424	2075	2808
425	2079	2801
426	2083	2795
427	2087	2789
428	2090	2782
429	2094	2776
430	2098	2769
431	2101	2763
432	2105	2757
433	2109	2750
434	2113	2745
435	2119	2741
436	2124	2737
437	2129	2731
438	2133	2726
439	2136	2719
440	2142	2715
441	2146	2710
442	2151	2705
443	2156	2699
444	2160	2694
445	2165	2690
446	2171	2685
447	2174	2679
448	2179	2674
449	2183	2668
450	2187	2662
451	2191	2656
452	2195	2650
453	2199	2645
454	2204	2640
455	2208	2634
456	2213	2629
457	2217	2623
458	2221	2617
459	2225	2612
460	2229	2606
461	2233	2600
462	2237	2594
463	2241	2589
464	2245	2583
465	2249	2578
466	2254	2573
467	2259	2568
468	2264	2564
469	2270	2559
470	2275	2555
471	2279	2550
472	2283	2544
473	2288	2539
474	2293	2534
475	2297	2528
476	2301	2523
477	2306	2518
478	2310	2513
479	2314	2507
480	2318	2501
481	2322	2496
482	2326	2490
483	2330	2484
484	2334	2478
485	2338	2473
486	2342	2467
487	2346	2461
488	2349	2455
489	2354	2450
490	2358	2444
491	2361	2438
492	2365	2432
493	2369	2427
494	2373	2421
495	2377	2415
496	2381	2410
497	2386	2406
498	2391	2400
499	2394	2394
500	2398	2389
501	2403	2383
502	2407	2379
503	2411	2373
504	2415	2367
505	2419	2362
506	2423	2356
507	2427	2351
508	2431	2345
509	2435	2339
510	2439	2334
511	2442	2328
512	2446	2322
513	2450	2317
514	2454	2311
515	2457	2305
516	2462	2300
517	2466	2295
518	2470	2289
519	2474	2284
520	2478	2278
521	2482	2273
522	2486	2267
523	2489	2261
524	2493	2256
525	2499	2252
526	2504	2247
527	2509	2243
528	2513	2237
529	2517	2232
530	2520	2226
531	2523	2220
532	2527	2214
533	2531	2209
534	2535	2203
535	2538	2197
536	2542	2192
537	2546	2186
538	2549	2180
539	2553	2175
540	2556	2169
541	2561	2164
542	2564	2158
543	2569	2153
544	2572	2148
545	2577	2143
546	2580	2137
547	2584	2131
548	2588	2126
549	2592	2120
550	2595	2114
551	2598	2109
552	2602	2103
553	2606	2098
554	2610	2092
555	2613	2087
556	2617	2081
557	2621	2076
558	2625	2071
559	2629	2066
560	2636	2062
561	2640	2057
562	2644	2052
563	2647	2046
564	2652	2042
565	2657	2037
566	2663	2033
567	2668	2029
568	2673	2025
569	2679	2021
570	2684	2017
571	2690	2013
572	2695	2008
573	2699	2003
574	2704	1999
575	2709	1994
576	2713	1989
577	2717	1983
578	2721	1978
579	2725	1973
580	2729	1968
581	2733	1963
582	2738	1959
583	2743	1954
584	2747	1949
585	2751	1943
586	2756	1939
587	2759	1933
588	2763	1928
589	2768	1923
590	2772	1918
591	2776	1913
592	2780	1908
593	2785	1903
594	2789	1898
595	2793	1893
596	2796	1888
597	2801	1883
598	2804	1877
599	2808	1872
600	2813	1867
601	2817	1862
602	2820	1857
603	2834	1858
604	2838	1852
605	2842	1847
606	2845	1842
607	2850	1837
608	2854	1832
609	2857	1827
610	2861	1821
611	2865	1816
612	2869	1811
613	2873	1806
614	2877	1801
615	2884	1798
616	2891	1794
617	2895	1789
618	2900	1784
619	2903	1779
620	2907	1774
621	2913	1770
622	2917	1765
623	2922	1760
624	2926	1755
625	2931	1751
626	2935	1746
627	2939	1741
628	2943	1736
629	2947	1731
630	2951	1725
631	2955	1720
632	2959	1715
633	2963	1710
634	2967	1705
635	2971	1700
636	2975	1695
637	2979	1690
638	2983	1685
639	2987	1680
640	2990	1675
641	2994	1670
642	2998	1665
643	3003	1660
644	3007	1655
645	3011	1650
646	3015	1645
647	3019	1639
648	3022	1634
649	3027	1629
650	3031	1624
651	3035	1620
652	3038	1614
653	3043	1610
654	3047	1605
655	3052	1600
656	3056	1595
657	3060	1590
658	3064	1585
659	3067	1580
660	3071	1575
661	3075	1570
662	3079	1565
663	3082	1560
664	3086	1554
665	3090	1549
666	3094	1544
667	3097	1539
668	3101	1534
669	3105	1529
670	3109	1524
671	3113	1519
672	3117	1514
673	3121	1509
674	3126	1505
675	3131	1501
676	3135	1496
677	3140	1491
678	3144	1486
679	3148	1481
680	3153	1476
681	3156	1471
682	3160	1466
683	3164	1461
684	3168	1456
685	3172	1452
686	3176	1447
687	3180	1442
688	3183	1437
689	3187	1432
690	3191	1427
691	3196	1422
692	3201	1418
693	3205	1413
694	3209	1408
695	3213	1403
696	3217	1398
697	3221	1393
698	3225	1388
699	3229	1384
700	3233	1379
701	3237	1374
702	3240	1369
703	3244	1364
704	3249	1359
705	3252	1354
706	3257	1349
707	3262	1345
708	3268	1341
709	3273	1336
710	3277	1332
711	3281	1327
712	3285	1322
713	3288	1317
714	3292	1312
715	3297	1307
716	3300	1302
717	3304	1298
718	3308	1293
719	3312	1288
720	3317	1283
721	3320	1278
722	3324	1273
723	3328	1268
724	3333	1264
725	3337	1259
726	3341	1254
727	3345	1249
728	3349	1245
729	3353	1240
730	3357	1235
731	3362	1230
732	3367	1226
733	3371	1221
734	3375	1216
735	3379	1212
736	3383	1207
737	3387	1202
738	3391	1197
739	3396	1193
740	3400	1188
741	3403	1183
742	3407	1178
743	3412	1174
744	3416	1169
745	3420	1164
746	3424	1159
747	3429	1155
748	3433	1150
749	3436	1145
750	3441	1140
751	3445	1136
752	3449	1131
753	3454	1127
754	3460	1123
755	3465	1118
756	3469	1113
757	3473	1109
758	3477	1104
759	3481	1099
760	3485	1094
761	3489	1090
762	3494	1085
763	3498	1080
764	3502	1076
765	3507	1071
766	3511	1066
767	3515	1061
768	3519	1057
769	3523	1052
770	3527	1047
771	3532	1043
772	3537	1038
773	3541	1033
774	3545	1029
775	3549	1024
776	3553	1019
777	3557	1015
778	3561	1010
779	3565	1005
780	3569	1001
781	3574	996
782	3578	991
783	3582	987
784	3587	982
785	3592	978
786	3596	973
787	3602	969
788	3606	964
789	3610	959
790	3615	955
791	3620	950
792	3624	946
793	3629	941
794	3634	937
795	3638	932
796	3644	928
797	3649	923
798	3653	919
799	3658	914
800	3662	910
801	3667	905
802	3671	900
803	3676	896
804	3681	891
805	3685	887
806	3690	882
807	3694	877
808	3699	873
809	3704	868
810	3711	865
811	3718	860
812	3723	856
813	3728	851
814	3732	847
815	3737	842
816	3742	838
817	3747	833
818	3752	829
819	3758	825
820	3765	820
821	3772	816
822	3777	812
823	3783	808
824	3788	803
825	3794	799
826	3799	794
827	3804	790
828	3810	785
829	3815	781
830	3821	777
831	3827	772
832	3832	768
833	3837	763
834	3843	759
835	3848	755
836	3854	750
837	3860	746
838	3865	741
839	3870	737
840	3876	732
841	3881	728
842	3886	723
843	3891	719
844	3896	714
845	3901	710
846	3907	705
847	3912	701
848	3916	696
849	3921	692
850	3926	687
851	3932	683
852	3936	678
853	3941	673
854	3946	669
855	3951	664
856	3956	660
857	3960	655
858	3964	650
859	3973	646
860	3983	643
861	3995	639
862	4002	635
863	4008	630
864	4013	626
865	4020	622
866	4026	617
867	4031	613
868	4038	608
869	4045	604
870	4050	599
871	4056	595
872	4062	590
873	4068	586
874	4073	581
875	4077	577
876	4083	572
877	4092	568
878	4105	565
879	4117	561
880	4142	559
881	4149	555
882	4154	550
883	4160	545
884	4166	541
885	4171	536
886	4175	531
887	4182	527
888	4187	522
889	4193	518
890	4198	513
891	4204	509
892	4209	504
893	4214	499
894	4219	495
895	4223	490
896	4229	485
897	4233	480
898	4237	476
899	4242	471
900	4247	466
901	4251	461
902	4256	457
903	4261	452
904	4265	447
905	4269	443
906	4274	438
907	4278	433
908	4283	428
909	4288	424
910	4293	419
911	4297	414
912	4301	409
913	4307	405
914	4311	400
915	4315	395
916	4319	390
917	4324	386
918	4328	381
919	4333	376
920	4337	372
921	4341	367
922	4345	362
923	4350	357
924	4354	353
925	4359	348
926	4363	343
927	4368	338
928	4373	334
929	4377	329
930	4381	324
931	4386	320
932	4391	315
933	4395	310
934	4399	305
935	4403	301
936	4407	296
937	4411	291
938	4416	286
939	4421	282
940	4425	277
941	4429	272
942	4433	267
943	4438	263
944	4442	258
945	4446	253
946	4451	249
947	4456	244
948	4460	239
949	4464	234
950	4469	230
951	4473	225
952	4484	221
953	4493	216
954	4503	212
955	4511	207
956	4527	203
957	4535	198
958	4541	194
959	4547	189
960	4555	184
961	4565	180
962	4572	175
963	4579	171
964	4584	166
965	4589	161
966	4595	156
967	4600	152
968	4604	147
969	4609	142
970	4616	137
971	4620	133
972	4625	128
973	4630	123
974	4634	118
975	4639	114
976	4644	109
977	4650	104
978	4656	99
979	4661	95
980	4666	90
981	4671	85
982	4676	80
983	4680	76
984	4685	71
985	4689	66
986	4694	61
987	4698	57
988	4702	52
989	4708	47
990	4713	42
991	4717	38
992	4722	33
993	4726	28
994	4731	23
995	4735	19
996	4740	14
997	4744	9
998	4748	4
999	4753	0
